ep_no,steps_taken,time_taken,rewards
,,,
0,438,3877,-1242.5
1,1302,15419,-4449.0
2,471,6127,-1537.5
3,552,6609,-2311.0
4,423,5109,-1755.0
5,1034,12524,-3478.0
6,317,3827,-1005.0
7,826,10549,-2431.0
8,405,4936,-1327.5
9,223,2756,-708.0
10,330,3998,-1077.0
11,164,1998,-428.0
12,44,524,-219.0
13,211,2648,-518.5
14,613,7931,-1872.5
15,75,1029,-384.5
16,519,6401,-1276.5
17,238,2992,-817.5
18,83,1067,-263.5
19,182,2247,-468.5
20,76,923,-405.5
21,41,575,-82.5
22,180,2203,-502.5
23,60,739,-404.5
24,114,1413,-481.5
25,540,6601,-1325.0
26,52,628,-189.0
27,130,1573,-411.0
28,211,2752,-597.5
29,73,1182,-247.0
30,75,902,-100.5
31,43,522,-84.5
32,215,2709,-559.5
33,475,5948,-779.0
34,172,2147,-322.0
35,64,770,-147.0
36,250,3016,-676.5
37,173,2101,-383.5
38,67,855,-338.0
39,112,1408,-273.5
40,104,1280,-290.0
41,291,3581,-863.0
42,224,2731,-578.0
43,575,7799,-1011.5
44,272,3520,-467.5
45,40,527,-231.0
46,218,2693,-494.0
47,215,2615,-510.5
48,57,721,-101.0
49,159,1926,-293.5
50,152,1909,-239.0
51,288,3496,-827.5
52,155,1920,-361.0
53,163,2011,-443.5
54,118,1523,-545.5
55,177,2179,-428.5
56,88,1116,-98.0
57,65,916,-262.5
58,98,1847,-180.0
59,74,1010,-141.5
60,137,1713,-323.0
61,163,2050,-261.0
62,148,1777,-223.0
63,108,1324,-212.0
64,155,1895,-344.0
65,238,3026,-395.5
66,235,2973,-948.5
67,37,461,-135.0
68,205,2586,-890.5
69,702,8689,-2504.5
70,76,929,-216.0
71,18,223,-94.5
72,49,599,-90.0
73,107,1369,-383.5
74,98,1613,-183.0
75,124,1650,-478.0
76,211,2722,-572.5
77,335,4399,-1269.0
78,42,527,-140.0
79,116,1443,-221.5
80,116,1483,-468.5
81,99,1236,-321.0
82,162,2040,-375.5
83,62,770,-145.0
84,33,413,-90.5
85,38,482,-77.5
86,106,1395,-437.0
87,63,789,-201.5
88,70,881,-187.5
89,32,407,-34.5
90,34,434,-132.0
91,67,870,-167.0
92,144,1806,-253.0
93,62,778,-68.0
94,155,1943,-422.5
95,153,1936,-407.5
96,251,3703,-446.0
97,71,1163,-135.5
98,59,727,-121.0
99,95,1161,-255.5
100,27,336,-140.5
101,70,856,-170.5
102,94,1145,-194.5
103,25,304,-66.0
104,313,3900,-731.0
105,39,478,-98.0
106,43,528,-104.5
107,33,410,-76.0
108,174,2147,-303.0
109,175,2122,-376.0
110,19,238,-76.5
111,97,1193,-217.5
112,408,5113,-1139.0
113,257,3158,-371.5
114,489,6039,-1041.5
115,367,5305,-602.5
116,30,371,-68.0
117,72,878,-98.0
118,42,511,-83.0
119,445,5471,-745.0
120,423,5270,-756.0
121,59,759,-163.5
122,442,5416,-908.5
123,245,3019,-453.0
124,373,4619,-704.0
125,164,2306,-343.5
126,106,1448,-172.5
127,413,5136,-673.0
128,419,5268,-644.5
129,140,1741,-210.5
130,69,920,-132.5
131,22,278,-80.5
132,304,3816,-631.5
133,486,6148,-1062.5
134,56,710,-175.5
135,74,927,-198.5
136,29,364,-67.0
137,55,675,-193.5
138,29,364,-70.0
139,83,1157,-165.5
140,45,564,-163.0
141,33,419,-92.5
142,43,543,-103.5
143,32,410,-90.0
144,54,957,-79.5
145,24,400,-83.5
146,28,449,-11.0
147,47,674,-89.0
148,45,566,-165.0
149,22,298,-60.0
150,26,340,-84.5
151,24,302,-24.5
152,30,378,-109.5
153,29,363,-32.0
154,27,339,-49.0
155,26,331,-46.5
156,27,343,-29.0
157,16,201,-74.5
158,27,340,-28.0
159,35,441,-93.5
160,31,389,-51.0
161,32,406,-73.0
162,25,315,-26.5
163,24,316,-46.0
164,22,284,-23.5
165,22,285,-24.5
166,30,411,-35.0
167,17,225,-38.0
168,19,239,-39.0
169,29,359,-30.5
170,24,296,-63.5
171,27,349,-28.5
172,27,354,-8.5
173,29,369,-49.0
174,24,303,-44.5
175,27,338,-86.0
176,33,403,-94.0
177,26,325,-11.0
178,25,311,-44.5
179,24,329,-44.5
180,20,269,-1.5
181,31,386,-15.5
182,24,298,-44.0
183,19,247,-19.5
184,27,337,-50.0
185,21,265,-3.0
186,22,275,-63.0
187,22,283,-5.0
188,27,353,-67.5
189,26,324,-48.5
190,18,230,0.5
191,23,288,-6.5
192,24,303,-26.0
193,22,293,-23.5
194,22,281,-23.0
195,21,270,-2.5
196,23,294,-43.5
197,24,306,-44.0
198,22,279,-4.0
199,24,302,-24.5
200,24,311,-4.5
201,21,274,-3.0
202,23,295,-4.0
203,20,255,-20.5
204,23,322,-63.0
205,24,341,-24.5
206,28,370,-47.5
207,22,287,-5.0
208,20,252,-1.5
209,22,277,-4.5
210,21,273,-1.0
211,18,228,-18.0
212,25,500,-28.5
213,24,347,-6.0
214,18,234,0.0
215,19,245,-20.5
216,19,245,-20.0
217,36,466,-77.5
218,18,232,-19.0
219,23,295,-24.5
220,35,440,-75.0
221,18,224,0.5
222,24,299,-64.5
223,22,279,-23.0
224,25,317,-26.5
225,20,250,-20.5
226,19,240,-39.5
227,25,322,-7.5
228,20,259,-21.0
229,20,251,-1.5
230,23,292,-4.5
231,23,294,-24.0
232,20,250,-2.0
233,18,225,0.5
234,20,256,-1.5
235,24,308,-7.5
236,18,228,0.5
237,19,248,-20.0
238,23,293,-63.0
239,19,242,-1.0
240,24,306,-5.5
241,22,279,-4.0
242,18,233,-0.5
243,23,291,-4.0
244,18,227,0.5
245,19,260,-1.5
246,20,368,-20.5
247,17,279,-36.0
248,20,391,-20.5
249,18,285,-56.5
250,18,285,0.5
251,22,346,-21.5
252,21,297,-21.5
253,18,226,-19.0
254,23,287,-24.5
255,27,338,-10.5
256,20,249,-1.5
257,21,264,-2.5
258,20,251,-1.5
259,22,279,-2.5
260,26,331,-47.0
261,19,240,-0.5
262,19,240,-20.0
263,22,280,-4.5
264,19,242,0.0
265,19,238,-1.0
266,18,225,0.5
267,21,259,-4.0
268,19,241,0.0
269,28,346,-107.0
270,19,243,0.0
271,20,279,-0.5
272,22,280,-4.0
273,22,284,-3.5
274,23,290,-23.5
275,19,240,0.0
276,20,250,-0.5
277,19,241,0.0
278,20,266,-21.5
279,21,273,-2.0
280,20,255,-0.5
281,22,275,-3.5
282,19,240,0.0
283,22,283,-3.0
284,18,237,0.5
285,18,276,0.5
286,20,256,-20.0
287,20,261,-0.5
288,21,264,-1.0
289,19,243,0.0
290,18,224,0.5
291,18,225,0.5
292,19,236,0.0
293,19,240,0.0
294,18,233,0.5
295,20,255,-2.5
296,18,231,0.0
297,18,236,0.5
298,19,249,0.0
299,19,242,0.0
